"","x"
"1296","1869"
"1297","101"
"1298","1850"
"1299","1848"
"1300","160"
"1301","°f"
"1302","1859"
"1303","1857"
"1304","##₂"
"1305","180"
"1306","1854"
"1307","1855"
"1308","1858"
"1309","140"
"1310","350"
"1311","1856"
"1312","125"
"1313","105"
"1314","1852"
"1315","1851"
"1316","2000s"
"1317","##00"
"1318","1840"
"1319","1853"
"1320","1849"
"1321","1847"
"1322","1846"
"1323","102"
"1324","360"
"1325","1830"
"1326","1845"
"1327","104"
"1328","750"
"1329","1837"
"1330","1844"
"1331","103"
"1332","1800"
"1333","1841"
"1334","1812"
"1335","1838"
"1336","1842"
"1337","1839"
"1338","1843"
"1339","1836"
"1340","106"
"1341","1835"
"1342","1832"
"1343","##а"
"1344","##и"
"1345","450"
"1346","1500"
"1347","2019"
"1348","220"
"1349","107"
"1350","115"
"1351","1815"
"1352","1834"
"1353","##²"
"1354","108"
"1355","##10"
"1356","170"
"1357","1831"
"1358","25th"
"1359","1814"
"1360","1833"
"1361","1820"
"1362","111"
"1363","112"
"1364","240"
"1365","1825"
"1366","##20"
"1367","135"
"1368","1828"
"1369","109"
"1370","1829"
"1371","1824"
"1372","##₃"
"1373","##ı"
"1374","1821"
"1375","1810"
"1376","230"
"1377","190"
"1378","##₁"
"1379","128"
"1380","3000"
"1381","1826"
"1382","1818"
"1383","113"
"1384","1813"
"1385","1822"
"1386","1827"
"1387","1816"
"1388","##50"
"1389","1793"
"1390","1801"
"1391","114"
"1392","1806"
"1393","##12"
"1394","1823"
"1395","1817"
"1396","1819"
"1397","117"
"1398","121"
"1399","2020"
"1400","1803"
"1401","##40"
"1402","##⁺"
"1403","1880s"
"1404","1809"
"1405","175"
"1406","210"
"1407","116"
"1408","50th"
"1409","118"
"1410","127"
"1411","1798"
"1412","1808"
"1413","1811"
"1414","122"
"1415","1805"
"1416","123"
"1417","1804"
"1418","1794"
"1419","1807"
"1420","550"
"1421","119"
"1422","30th"
"1423","24th"
"1424","1790"
"1425","1795"
"1426","124"
"1427","1792"
"1428","280"
"1429","5000"
"1430","1802"
"1431","260"
"1432","1890s"
"1433","320"
"1434","##½"
"1435","1789"
"1436","145"
"1437","270"
"1438","650"
"1439","22nd"
"1440","1799"
"1441","1796"
"1442","165"
"1443","23rd"
"1444","1776"
"1445","126"
"1446","132"
"1447","1797"
"1448","2d"
"1449","##30"
"1450","##о"
"1451","##ه"
"1452","155"
"1453","330"
"1454","m³"
"1455","1775"
"1456","1791"
"1457","129"
"1458","##ي"
"1459","133"
"1460","##11"
"1461","£1"
"1462","##α"
"1463","131"
"1464","144"
"1465","1200"
"1466","1600"
"1467","1870s"
"1468","26th"
"1469","137"
"1470","225"
"1471","152"
"1472","138"
"1473","27th"
"1474","1780"
"1475","##18"
"1476","134"
"1477","##е"
"1478","##ος"
"1479","1783"
"1480","185"
"1481","##د"
"1482","136"
"1483","##ии"
"1484","141"
"1485","28th"
"1486","1788"
